Individual,Sex,Year,Locality,BCI
1,Male,2020,Plateau,6.35106383
1,Male,2011,Plateau,6.457663451
1,Male,2010,Plateau,6.672051696
1,Male,2020,Plateau,6.903743316
1,Male,2017,Plateau,6.79558011
1,Male,2014,Plateau,6.84097035
1,Male,2016,Plateau,7.037837838
1,Male,2019,Plateau,6.766304348
1,Male,2009,Plateau,6.901607298
1,Male,2018,Plateau,7.092391304
1,Male,2008,Plateau,6.717640634
1,Male,2011,Plateau,7.131102578
2,Male,2009,Plateau,7.08040201
2,Male,2023,Plateau,7.585
2,Male,2011,Plateau,7.385
2,Male,2016,Plateau,7.681818182
2,Male,2019,Plateau,7.363636364
2,Male,2017,Plateau,7.653061224
2,Male,2022,Plateau,7.688442211
2,Male,2012,Plateau,7.731854839
2,Male,2021,Plateau,7.828282828
2,Male,2011,Plateau,7.568113017
2,Male,2013,Plateau,7.734693878
3,Male,2017,Plateau,5.202453988
3,Male,2011,Plateau,5.256097561
3,Male,2010,Plateau,5.432399513
3,Male,2016,Plateau,5.896341463
3,Male,2018,Plateau,5.548780488
3,Male,2013,Plateau,5.462962963
3,Male,2014,Plateau,5.686746988
3,Male,2012,Plateau,5.38125
3,Male,2011,Plateau,5.322679779
3,Male,2019,Plateau,5.570552147
6,Male,2017,Plateau,5.074285714
6,Male,2016,Plateau,5.771929825
6,Male,2011,Plateau,5.459770115
6,Male,2009,Plateau,5.394045534
6,Male,2010,Plateau,5.670945158
6,Male,2011,Plateau,5.683661645
6,Male,2022,Plateau,5.83625731
6,Male,2021,Plateau,5.684210526
6,Male,2018,Plateau,5.888888889
6,Male,2019,Plateau,5.664705882
6,Male,2009,Plateau,5.719318849
6,Male,2010,Plateau,5.672791938
7,Male,2008,Plateau,5.245535714
7,Male,2016,Plateau,6.371191136
7,Male,2011,Plateau,6.034197463
7,Male,2008,Plateau,5.772495756
7,Male,2011,Plateau,6.280760626
7,Male,2017,Plateau,6.440677966
7,Male,2016,Plateau,6.758426966
7,Male,2010,Plateau,6.560726447
8,Male,2018,Plateau,5.540880503
8,Male,2017,Plateau,5.545454545
9,Male,2008,Plateau,5.741968383
10,Female,2008,Beach,5.32173913
10,Female,2010,Beach,5.759530792
10,Female,2009,Beach,5.634134842
10,Female,2009,Beach,5.984624483
11,Male,2010,Beach,4.847715736
11,Male,2016,Beach,5.732919255
